Name,Email
Jon Holt,jon@poop.com
Iris Holt,iris@poop.com
Jose Cotto,jose@poop.com
Andrea Outhuse,drea@poop.com
Kara Campbell,kara@poop.com
Jake Vandausall,jake@poop.com
Agasthya Shenoy,aps@poop.com
Caroline Dorr,carol@poop.com
Dina Sandakli,dina@poop.com
Dave Jones,dave@poop.com
Andrew Tripodo,drew@poop.com
Joumana Khatib,joumana@poop.com
Amberine Huda,ambo@poop.com
Rob Ruffins,rob@poop.com
Stephanie Jabaley,steph@poop.com
Ben Coleman,ben@poop.com
Rachel Bush,rachel@poop.com
Ryan McGranagan,ryan@poop.com
Becca Emel,becca@poop.com
Ben Rosenberg,bentheold@poop.com
Nicky Spiva,nicky@hotmail.com
