"","name","interest","graded","program","skill.1","skill.2","skill.3","skill.4","skill.5","skill.6","skill.7","skill.8","topics","assignment"
"1","Kendrick Perkins","promoting civic engagement and political participation","yes","TIE",1,1,0,1,0,0,0,0,"I want to make civic action a priority for teens. ",3
"2","Amy O’Connell","helping children and teens become wiser consumers","no","TIE",1,0,1,1,0,0,0,1,"I want to help kids make smart decisions when it comes to understanding the media that they are consuming, eg fake news",4
"3","Peleroppe Kerter","Making moving films/tv","no","HDP",0,0,0,1,0,1,0,0,"A final product that I can add to my production portfolio and talk about in job interviews",5
"4","frank","developing print and digital literacy","no","TIE",1,0,0,1,0,0,1,0,"I’m not sure. I just want to hang out with Joe and some muppets. ",2
"5","Norsely Plutt","Representation of women one STEM","yes","TIE",1,1,1,1,0,0,0,1,"New ways of thinking about coming up with a solution for a problem that’s important to me ",4
"6","Bonferroni Correction","developing print and digital literacy","yes","IEP",0,1,0,0,1,0,1,1,"I want to get everything possible out of this class",6
"7","Ollavord Pelpore","promoting civic engagement and political participation","yes","SSP",1,1,0,1,0,0,1,1,"Love is a powerful, motivating — and underappreciated — force for many teachers. A new book by alum John Miller explores the strength it brings, its connection to effective practice, and the need to nurture it",1
"8","Romand McGorager","improving children's health and fitness","yes","IEP",1,0,0,0,0,1,1,0,"He was also co-creator and initial project director of the Usable Knowledge website, which makes HGSE faculty research available and accessible to practitioners.",2
"9","Quintius Ufrid Fooral","helping children and teens become wiser consumers","yes","L&T",1,0,1,1,0,0,1,0,"He also created the Break Through television series to profile contemporary African American, Latino, and Native American scientists and engineers",3
"10","Elacor Pavis","developing print and digital literacy","yes","TIE",0,1,0,0,0,1,0,0,"I feel education, both of our children and of ourselves, may be one of the most important things we can do today.",6
"11","Grolyne Twetcer","developing print and digital literacy","no","AIE",0,1,1,1,1,1,0,1,"School may have been – or may currently be – boring, a killer of creativity or downright awful for you.",7
"12","Sannis Broche","Making moving films/tv","yes","IEP",1,0,0,0,0,1,0,1,"And if your years in school were bad or boring you can still educate yourself now.",3
"13","Bilbert the Wearrey","helping children and teens become wiser consumers","yes","HDP",1,1,0,0,0,1,1,0,"So in this post I’d like to share 54 timeless, thought-provoking and inspiring quotes on education.",7
"14","Zaberta Dirdle","helping children and teens become wiser consumers","yes","IEP",0,0,0,1,0,0,1,0,"“Anyone who has never made a mistake has never tried anything new.”",3
"15","Sc Lyndrind","promoting civic engagement and political participation","no","HDP",0,0,1,1,1,0,0,0,"“A teacher affects eternity; he can never tell where his influence stops.”",5
"16","Bloador","developing print and digital literacy","no","MBE",1,0,1,1,1,0,0,0,"“A man’s mind, stretched by new ideas, may never return to its original dimensions.”",2
"17","Batrick Shalporke","Making moving films/tv","no","L&L",0,1,1,0,0,1,0,0,"“Much education today is monumentally ineffective. All too often we are giving young people cut flowers when we should be teaching them to grow their own plants.”",6
